label,zone,old_x,old_y,proposed_x,proposed_y,delta_x_norm,delta_y_norm,delta_x_px,delta_y_px
C01,Center Desks,0.420564,0.535714,0.416922,0.550664,-0.003642,0.014950,-5.7,15.1
C02,Center Desks,0.486227,0.536706,0.477660,0.551635,-0.008567,0.014929,-13.4,15.0
C03,Center Desks,0.528507,0.536706,0.516769,0.551635,-0.011738,0.014929,-18.3,15.0
C04,Center Desks,0.587444,0.536706,0.571286,0.551635,-0.016158,0.014929,-25.2,15.0
C05,Center Desks,0.427290,0.682540,0.423143,0.694407,-0.004147,0.011867,-6.5,12.0
C06,Center Desks,0.486227,0.682540,0.477660,0.694407,-0.008567,0.011867,-13.4,12.0
C07,Center Desks,0.528507,0.682540,0.516769,0.694407,-0.011738,0.011867,-18.3,12.0
C08,Center Desks,0.587444,0.682540,0.571286,0.694407,-0.016158,0.011867,-25.2,12.0
CW01,Center West,0.299167,0.375992,0.304629,0.394296,0.005462,0.018304,8.5,18.5
CW02,Center West,0.345291,0.375992,0.347294,0.394296,0.002003,0.018304,3.1,18.5
CW03,Center West,0.298527,0.438492,0.304037,0.455484,0.005510,0.016992,8.6,17.1
CW04,Center West,0.345291,0.438492,0.347294,0.455484,0.002003,0.016992,3.1,17.1
CW05,Center West,0.305573,0.548611,0.310555,0.563290,0.004982,0.014679,7.8,14.8
CW06,Center West,0.337604,0.548611,0.340184,0.563290,0.002580,0.014679,4.0,14.8
CW07,Center West,0.305573,0.710317,0.310555,0.721600,0.004982,0.011283,7.8,11.4
CW08,Center West,0.338885,0.710317,0.341369,0.721600,0.002484,0.011283,3.9,11.4
E01,East Pod,0.587764,0.383929,0.571582,0.402066,-0.016182,0.018137,-25.3,18.3
E02,East Pod,0.671365,0.382937,0.648913,0.401095,-0.022452,0.018158,-35.0,18.3
E03,East Pod,0.707239,0.382937,0.682096,0.401095,-0.025143,0.018158,-39.2,18.3
E04,East Pod,0.772582,0.382937,0.742538,0.401095,-0.030044,0.018158,-46.9,18.3
E05,East Pod,0.588085,0.452381,0.571879,0.469081,-0.016206,0.016700,-25.3,16.8
E06,East Pod,0.671365,0.452381,0.648913,0.469081,-0.022452,0.016700,-35.0,16.8
E07,East Pod,0.707239,0.452381,0.682096,0.469081,-0.025143,0.016700,-39.2,16.8
E08,East Pod,0.772582,0.452381,0.742538,0.469081,-0.030044,0.016700,-46.9,16.8
N01,North Pod,0.288917,0.066468,0.295148,0.091272,0.006231,0.024804,9.7,25.0
N02,North Pod,0.345291,0.066468,0.347294,0.091272,0.002003,0.024804,3.1,25.0
N03,North Pod,0.406150,0.066468,0.403589,0.091272,-0.002561,0.024804,-4.0,25.0
N04,North Pod,0.461883,0.066468,0.455142,0.091272,-0.006741,0.024804,-10.5,25.0
N05,North Pod,0.288917,0.137897,0.295148,0.161201,0.006231,0.023304,9.7,23.5
N06,North Pod,0.345291,0.137897,0.347294,0.161201,0.002003,0.023304,3.1,23.5
N07,North Pod,0.406150,0.137897,0.403589,0.161201,-0.002561,0.023304,-4.0,23.5
N08,North Pod,0.461883,0.137897,0.455142,0.161201,-0.006741,0.023304,-10.5,23.5
N09,North Pod,0.288917,0.210317,0.295148,0.232100,0.006231,0.021783,9.7,22.0
N10,North Pod,0.345291,0.210317,0.347294,0.232100,0.002003,0.021783,3.1,22.0
N11,North Pod,0.406150,0.210317,0.403589,0.232100,-0.002561,0.021783,-4.0,22.0
N12,North Pod,0.461883,0.210317,0.455142,0.232100,-0.006741,0.021783,-10.5,22.0
